name,latitude,longitude
Fitz Overshot Waterwheel,42.004505,-83.9344206
University Golf Course,34.390411,-89.5309767
The Grove,34.3658088,-89.5327448
Unknown,34.3656986,-89.5414196
Staybridge Suites,42.1544044,-77.0551458
Spence Hot Spring,35.8495283,-106.6297305
Shelby Museum,36.2800759,-115.0230782
Ubehebe Crater,37.0099731,-117.4506548
South Congress Bat Colony,30.2591268,-97.7463701
Tunica Roadhouse Casino & Hotel,34.8471365,-90.3287742
Horseshoe Casino and Hotel,34.8472774,-90.3307483
Bally's Tunica Casino Hotel,34.8416701,-90.3222502
Gold Strike Casino Resort,34.8463044,-90.3325722
Sam's Town Hotel & Gambling Hall,34.8191673,-90.411515
Hollywood Casino Tunica Hotel,34.8126139,-90.415549
Old Town,42.7475449,-84.5493402
Santa Rita No. 1 Oil Well,30.2800247,-97.7347096
Henry B. Plant Museum,27.9462133,-82.4641818
The Rock,42.7281002,-84.4775643
Olympic Lodge by Ayres,48.1051532,-123.3976664
Best Western Tacoma Dome Hotel,47.2385823,-122.426916
Sather Gate,37.8702403,-122.259509
Augusta Marriott at the Convention Center,33.4784092,-81.9671791
Minnesota Museum of Mining,47.4883312,-92.8919375
Brigantine Lighthouse,39.3948094,-74.3895324
Columbia Winery,47.7343394,-122.152472
Novelty Hill Winery,47.735539,-122.1536087
Silver Lake Winery,47.7371942,-122.155845
Willows Lodge,47.7334506,-122.1468814
Ross Andrew Winery,47.7330963,-122.1416027
Pahrump Valley Speedway,36.223826,-115.9813359
China Ranch Date Farm,35.8003942,-116.195222
Musselman Arch,38.4358991,-109.7697303
Druid Arch,38.0884574,-109.8318419
Country Inn & Suites,33.6136371,-85.7905594
Billie Swamp Safari,26.3301531,-81.0548692
Tacos Hooked Up Sportfishing,26.1117034,-80.1059234
Cedar Run Inn,41.5226013,-77.4469989
Best Western Plus University Inn & Conference Center,34.6881104,-82.8251679
Sand Pit,42.4302334,-84.0163335
Mount Diablo State Park Summit Museum,37.8818306,-121.9142679
Columbarium,38.8758352,-77.0610243
Alameda Museum,37.7635013,-122.244089
Anita Hill,44.747827,-85.463663
3k Hill,44.739689,-85.471268
The Chute,44.729989,-85.481995
Woodchip Hill,44.7142937,-85.4853587
Upper Antelope Canyon,36.86256,-111.374671
Kayenta Monument Valley Inn,36.7067344,-110.2483127
Unknown,44.1646733,-88.2908137
General Sherman Tree,36.5816453,-118.751443
Hite Marina,37.8729971,-110.3947937
Turtle,36.0006009,-78.9010264
Josiah Quincy House,42.2717618,-71.0146989
Banner County Museum,41.5584661,-103.7433155
California Society of Pioneers Museum and Library,37.7999996,-122.4596162
Mexican Hat Rock,37.1738002,-109.8486996
Major the bull,35.9964834,-78.9017079
Jajardo Inn,18.3350901,-65.6362026
Devils Kitchen,40.4419078,-121.4345235
South Street Seaport,40.7057505,-74.0029056
Brontosaurus,36.0280306,-78.9018792
Q Center,41.9328893,-88.3103105
Dyck Arboretum of the Plains,38.129406,-97.4338972
Kauffman Museum,38.0754795,-97.3470792
Window Tree,38.5734324,-122.4307442
Martin Spring,38.5803873,-122.4208986
Redwood Flat,38.58868,-122.4264347
Inspiration Point,38.5821318,-122.4205725
Arrow Flat,38.5627353,-122.4149857
Secret Place,38.5592856,-122.3970985
4-H Camp,38.5593058,-122.4080505
Balancing Rock,38.5333797,-122.4495773
CuriOdyssey,37.5906177,-122.3197282
Sarah's Vineyard,37.0169403,-121.644106
Kirgan Cellars,37.0293078,-121.658646
Armillary Sphere,42.6468612,-71.1331955
Bicentennial Statue,42.647673,-71.1317341
Roosevelt Redwood Grove,38.5662312,-122.4134561
Holm's Place (homestead),38.6216091,-122.5489055
Bear Rock Overlook,38.6538692,-122.5930205
Lasky Point,38.6373315,-122.579013
Stevenson Memorial,38.6534335,-122.6038266
Residence Inn North,39.9130511,-86.2215279
Monument 670A,48.9994722,-101.361989
Bumpass Hell,40.4580665,-121.501852
Indian Arch,37.7766312,-119.5537335
Andover Inn,42.6493875,-71.1333797
Wilder Ranch,36.9608676,-122.0829912
The Inn,43.3860055,-95.1476573
Bidwell Mansion,39.732327,-121.8434873
Wild Rose Casino and Resort,43.1150762,-94.6612914
Arthouse at the Jones Center,30.2692293,-97.7425732
Mighty Midget Kitchen,39.1127054,-77.5624502
Heublein Tower,41.8258757,-72.7984986
Grandmother's tree,29.8830716,-97.9827125
Lake Austin,30.3001716,-97.7846744
President and Mrs. Hoover Gravesite,41.6681282,-91.3520614
Manitowoc County Historical Society,44.1029566,-87.669422
Diamond Caverns,37.1162627,-86.0619199
Loda Lake National Wildflower Sanctuary,43.6393226,-85.8283586
Elk Rapids Area Historical Museum,44.8966667,-85.4155556
Berkeley Historical Society,37.869997,-122.271773
Klehm Arboretum & Botanic Gardens,42.2448446,-89.1122552
Carl Sandburg Birthplace Historic Site,40.9363239,-90.3662642
Barney Smith's Toilet Seat Art Museum,29.4818718,-98.4698393
Living Heritage Tree Museum,42.6379706,-95.2045152
Best Western - University Inn,44.596385,-75.1489587
LeHardys Rapids,44.6070319,-110.3838006
Old Faithful,44.4604545,-110.8281764
Beehive Geyser,44.4626023,-110.83
Steamboat Geyser,44.7234984,-110.7030252
Bowl and Pitcher,47.6973898,-117.4974406
Whitman Memorial,46.0414681,-118.4609289
Leif Erikson Statue,47.6798526,-122.4059481
Klondike Gold Rush National Historical Park,47.599381,-122.331864
Black River Academy Museum,43.3976385,-72.6992113
Black Mountain,36.9143279,-82.8938564
Potoma Wayside,39.3200574,-77.7121083
Monacan Ancestral Museum,37.5730359,-79.1267461
Lizard Rock,38.1722787,-109.9986299
Peak-A-Boo Arch,37.8602654,-111.0352153
The Wall,38.1718513,-110.0111908
S.O.B. Hill,38.1280956,-109.87648
Temple of the Moon,38.4459759,-111.1914209
Temple of the Sun,38.4509799,-111.1926093
Butch Cassidy's Boyhood Home,38.1262003,-112.3274398
Hindu Temples,37.6116497,-112.1632499
Strawberry River Day Use Area,40.128288,-111.0254426
Candlestick Tower,38.3806967,-109.931541
International Water Lily Garden,31.4588794,-100.4514098
Collin County Central Museum at the Old Post Office,33.2112269,-96.568045
Unknown,38.9958938,-105.0506689
South Pittsburg Municipal Hospital,35.0020249,-85.7149709
Saint Peters Episcopal Church,35.614794,-87.0383388
The Muse Knoxville,35.9976292,-83.8854784
Heritage Village Museum,39.2788765,-84.4002517
Seth Bullock's Grave,44.3769714,-103.7227111
Mount Rushmore,43.8794033,-103.4598048
Cherokee County Museum,35.0678016,-81.648558
Gaffney Visitors Center & Art Gallery,35.0766436,-81.6480993
The Rhode Island Fisherman and Whale Museum,41.4861939,-71.3149795
Waterplace Park,41.8268518,-71.4139434
Roca El Yunque,18.3118974,-65.7932185
El Conquistador Resort,18.3588721,-65.6272184
Space Rocket Plaza,18.4106928,-66.160121
Oregon Caves National Monument,42.0979365,-123.4075419
Pennsbury Manor State Park,40.1337269,-74.7687811
McGregor Park,42.660557,-122.6880293
Lock Ridge Furnace Museum,40.5088684,-75.5938251
Cleveland Cultural Gardens,41.5292123,-81.6279235
The Stone Academy,39.9316848,-82.006183
First Ladies National Historic Site,40.7976607,-81.3753968
Elephant Rock,36.4283573,-114.460123
Christ Light Community Church,32.2679735,-107.7588999
Trevor Park,40.9537095,-73.8970801
Marbletown Historical Schoolhouse,43.0210366,-77.0661151
Theodore Roosevelt Inaugural National Historic Site,42.9015679,-78.8726259
Bedford Village Historic District,41.2029341,-73.6433698
Carthage Tokay Farley Historical Marker,33.886865,-106.7251858
Dunkirk Historical Museum,42.4808333,-79.3325
Huguenot Street Historic District,41.7521372,-74.0867254
Field School House,42.537317,-76.5034077
Cardigan Mountain State Park,43.6443765,-71.935249
Catawba Science Center,35.7360611,-81.3342754
Sidney - Cheyenne County Historical Marker,41.1138743,-102.9240879
The Golden Link Historical Marker,41.1547057,-103.0902036
Cheyenne County Historical Marker,41.1545642,-103.0900157
Nebraska Historical Marker,41.1899099,-103.8689976
Great Platte River Road Historical Marker,41.0346053,-102.2111788
Julesburg and Fort Sedgwick Historical Marker,41.0345871,-102.2115019
Big Springs Historical Marker,41.0345907,-102.2107689
Historic Lodgepole Creek Valley Historical Marker,41.0930439,-102.5226899
Ash Hollow Historical Marker,41.119695,-101.603639
Ogallala Historical Marker,41.1197053,-101.603762
Court House Chimney Rock and Scotts Bluff Historical Marker,41.1197259,-101.6039377
Road Ranches along the Platte Historical Marker,41.0297968,-100.4581792
Fort McPherson and North Platte Historical Marker,41.0355593,-100.4670812
Great Platte River Road Historical Marker,41.1416628,-101.0898776
Crossing the Overland Trail Historical Marker,41.1388346,-101.0963487
Fort Kearney Historical Marker,40.6703139,-99.1572279
Brownville Historical Marker,40.3969459,-95.6558232
Muir House Historical Marker,40.396942,-95.6556227
Tower of the Four Winds,41.5510059,-96.1625296
Steamboat Bertrand Discovery Site Historical Marker,41.5219379,-96.0289016
Kerr Mill,35.6477305,-80.6480527
Oregon Inlet Fishing Center,35.7970998,-75.5479062
Stage Road Monument,34.4591455,-78.1115938
Patriot (Grady) Monument,34.457678,-78.1122572
Loyalist Monument,34.4577176,-78.111942
Slocumb Monument,34.4569462,-78.1102128
Moore Monument,34.4575555,-78.1116311
Balanced Rock,36.3985151,-80.2823324
Kerr Lake School,36.4970878,-78.4163867
Ten Commandments,35.1203541,-84.2498105
Madison Buffalo Jump State Monument,45.7932099,-111.4683279
Natural Bridge State Park,45.5491033,-110.2063014
Maple Grove Cemetery,44.2828562,-68.9022538
Boynton Street Historic District,44.9051856,-66.9863514
Eastport Historic District,44.9046538,-66.9842726
Penobscot Narrows Observatory,44.5606028,-68.8036129
Church Hospital,39.2930281,-76.5941668
Barre Circle Historic District,39.2848292,-76.6274677
Butchers Hill Historic District,39.2917739,-76.5874661
Dickeyville Historic District,39.3154023,-76.703872
Goat Rock,42.0612063,-72.432584
Tablet Rock,42.6037716,-70.6776249
Dungeon Rock,42.4830985,-70.983499
Boston Tea Party - Ships and Museum,42.3521988,-71.0513039
Arlington Center Historic District,42.4159402,-71.1570001
Becket Center Historic District,42.2848102,-73.0709362
Derby Waterfront District,42.5217294,-70.8852563
Congo Square,29.9612536,-90.0686153
Hotel Peter & Paul,29.9667696,-90.0550661
National Hansen's Disease Museum,30.1988077,-91.1264929
Acadian Village,30.1771819,-92.0942465
New Orleans Jazz National Historical Park,29.9614693,-90.057711
Mount Sunflower,39.0219287,-102.0372528
Kansas State Historical Society - Center for Historical Research,39.0565559,-95.7757493
Northside School Bed and Breakfast,48.7030103,-116.3153006
Twin Falls County Museum,42.5635455,-114.549767
Old Mans Nose,38.7147731,-86.7394422
Paul H. Douglas Center for Environmental Education,41.6063241,-87.2688606
Kingsley Plantation,30.4392648,-81.4379496
Chehaw Indian Monument,31.7737822,-84.1282409
Tassajara School,37.8032469,-121.8598914
Teaching Museum North,34.0201064,-84.362987
Mission Santa Inés,34.5943148,-120.1366263
Ribbon Beach,33.4497484,-118.5795267
Seal Rock,32.8469962,-117.2786563
Terminal Geyser,40.4212722,-121.3771959
Wilbur Grave,34.3058596,-116.9004297
Alamo Square Historic District,37.7771517,-122.4349713
Congress Group,36.5746666,-118.7462091
Rowland House (historical),34.01083,-117.957637
Esalen Institute,36.1248106,-121.637744
Venice Canal Historic District,33.9841779,-118.466189
Lower Lake Schoolhouse Museum,38.9090657,-122.6058167
Old Faithful Geyser of California,38.5969427,-122.6021342
China Camp Historic Area,38.0010335,-122.4619184
Doane Pond,33.3402098,-116.9008981
Camarillo House County Landmark,34.2179999,-119.017971
Krueger Point,37.2660952,-108.5693122
Pictograph Point,37.2177852,-108.576865
Echo Cliff,37.1655512,-108.4992553
Sun Point,37.1618593,-108.4748541
Pictograph Point,37.1716624,-108.4939773
Kiva Point,37.081385,-108.4875875
Castle Rock,39.3788174,-104.8567865
Mesa Verde West Rim,37.1874947,-108.6673169
Ford's Theatre National Historic Site,38.896678,-77.0258178
Almas Temple,38.9027752,-77.0313202
All Hallows Guild Traveling Carousel,38.9303889,-77.0702555
The Normandy Hotel,38.9174098,-77.0476207
Tuskegee Institute National Historic Site,32.4287506,-85.7041199
George Washington Carver Museum and Cultural Center,33.4405996,-112.068203
Paw Hole Teepees,36.9244549,-112.0172245
Bellamy-Ferriday Garden,41.6407479,-73.2087671
Bethlehem Green Historic District,41.6393466,-73.2079008
Hilton Inn at Penn,39.9535151,-75.19582
Holiday Inn Express Rochester - Greece,43.2053975,-77.6711245
Worldmark Midway,40.5274723,-111.4906473
Nike Missile Site SF-88,37.8271128,-122.527453
The High Desert Museum,43.9659212,-121.3415245
Bruce Memorial Museum,46.2693546,-118.1546734
Sunnyside Museum,46.3209474,-120.0151587
Washington State Capitol Museum,47.0298532,-122.9032291
Ryan House Museum,47.203076,-122.2386453
Hotel Moscow,46.7319444,-117.0016667
Custer Museum,44.3874133,-114.6961897
Herrett Museum,42.5843984,-114.470348
Jerome County Historical Museum,42.7256866,-114.5181693
Nevada State Museum Historical Society,36.1778302,-115.1866713
Las Vegas Natural History Museum,36.1799249,-115.133822
Grizzly & Wolf Discovery Center,44.6561371,-111.098613
Philipsburg Public Library,46.3318915,-113.2942947
Sheridan County Agriculture Museum and Civic Center,48.7705836,-104.5388454
O'Fallon Historical Museum,46.3602833,-104.2760516
Sheridan County Museum,48.7706168,-104.5392577
Culbertson Museum,48.1486313,-104.492732
Powerhouse Museum,48.013351,-106.412535
Poplar Museum,48.1139076,-105.1722028
Fort Peck Tribal Museum,48.1240437,-105.1845436
Daniels County Museum,48.7897686,-105.431114
Wolf Point Area Historical Society Museum,48.0895592,-105.638499
Yellowstone Gateway Museum,45.6640751,-110.5642872
Liberty County Museum,48.5109402,-110.963052
H Earl Clack Memorial Museum,48.5548854,-109.7032563
Victorian Village Museum,45.8241057,-109.9715761
Old Trail Museum,47.8191233,-112.1883234
Earle E Heikka Museum,47.5072212,-111.3508267
Cascade County Historical Society Museum,47.5058585,-111.2823361
Jefferson Valley Museum,45.8657166,-112.098666
Utica Museum,46.9677857,-110.0919098
Sod Buster Museum,47.0555218,-110.0577001
Judith Basin County Museum,47.1530954,-110.2220179
Prairie County Museum,46.7936181,-105.3133198
Chief Plenty Coups Museum,45.4269128,-108.5504004
McCone County Museum,47.4117989,-105.5912134
Rosebud County Pioneer Museum,46.2681422,-106.6737442
Big Horn County Historical Museum,45.7380902,-107.5923124
Powder River Historical Museum & Macs Museum,45.44486,-105.408701
Wildlife Museum,45.4366585,-105.4074904
Gateway Museum,46.9836246,-104.1854911
Historical Society Museum,47.6833493,-104.6213456
Savage Museum,47.4533487,-104.3413321
Carbon County Museum,45.1897495,-109.2469002
Museum of the Beartooths,45.6416075,-109.2515501
American Computer Museum,45.659349,-111.0549735
Headwaters Heritage Museum,45.8934664,-111.552035
Range Riders Museum,46.400439,-105.864723
Pictorial Museum,48.4821788,-108.7653992
Pioneer Museum,46.020639,-114.1774432
Yesterdays Playthings Doll and Toy Museum,46.3924571,-112.7361588
Ravalli County Museum,46.2444325,-114.1579298
Stevensville Historical Museum,46.5055669,-114.09409
Ricketts Memorial Museum,46.2546438,-114.180928
World Museum of Mining,46.009641,-112.5653018
Montana Law Enforcement Museum,46.3927398,-112.7361497
Powell County History Museum,46.3926883,-112.7361429
Towe Ford Museum,46.3925008,-112.7361542
Frontier Montana Museum,46.3925461,-112.736152
Miracle of America Museum and Pioneer Village,47.6802767,-114.115827
Garden of the Rockies Museum,47.5299344,-114.103723
North American Wildlife Museum,48.4180207,-114.0370633
Ranks Drug Store Museum,45.2931263,-111.9466116
Alder Gulch Short Line Steam Railroad Museum,45.3068553,-111.967329
National Museum of Machinery,45.6903209,-112.2829273
Historical Museum at Fort Missoula,46.8443678,-114.0648333
Mineral County Museum,47.1939367,-114.8878135
Stumptown Historical Society Museum,48.4135091,-114.335405
Upper Blackfoot Historical Society Museum,46.9525717,-112.7331318
Lake Hotel,44.5497697,-110.4001316
Sand Lake Lodge,41.4383025,-106.26807
Sharlot Hall Museum,34.5416549,-112.474186
Museum of Indigenous People,34.5433576,-112.4587801
Jerome State Historical Mine Park Museum,34.7536722,-112.111326
Rose Tree Museum,31.7120997,-110.0673077
Pioneer Home Museum,31.7113889,-110.0608333
Cochise Stronghold Indian Museum,31.8914743,-110.2175736
Arizona State University Art Museum,33.4186736,-111.938104
Phoenix Police Museum,33.447505,-112.076031
Marble Canyon Lodge,36.8167567,-111.6373127
Lamb Hotel,32.8333993,-109.8859148
Historical Center for Southeast New Mexico,33.3944851,-104.529356
Bowden Hall Historic Site,32.7756251,-108.2824832
Blackwell and Gross and Company Building Historic Site,35.5937706,-105.2183793
Seaman Field House Historic Site,32.2665285,-107.7572697
Folsom Museum Historic Site,36.8446979,-103.9183887
Foster Hotel Historic Site,36.9040691,-106.5789588
Juan Garcia House Historic Site,32.9775747,-105.9420171
Graham Gymnasium Historic Site,32.7767157,-108.2850173
Grzelachowski House Historic Site,34.8261722,-104.6294325
Tom Eby Storage Building Historic Site,32.6284145,-107.7694757
Crockett Building Historic Site,35.5937285,-105.2178355
Elks Lodge Building Historic Site,35.5937063,-105.2182759
Luciana B Grijalva House Historic Site,32.8101222,-107.9200113
Ramon Baca House Historic Site,32.6276875,-107.8663173
Bank of Portales Historic Site,34.1870045,-103.3373607
Baca-Goodman House Historic Site,35.171574,-103.72549
Bean-Newlee House Historic Site,35.5936235,-105.218129
William Baskin House Historic Site,32.8423345,-104.4032963
Governor Bent House Historic Site,36.4088012,-105.5733482
Blanton Log House Historic Site,36.7294705,-106.569688
Light Hall Historic Site,32.775392,-108.2829112
Johnson House Historic Site,35.5965171,-105.2003535
Otto Huechling House Historic Site,32.8561888,-107.9797623
Hodges-Runyan-Brainard House Historic Site,32.8423345,-104.4032963
George Becker House Bunk House and Barn Historic Site,36.7295953,-106.5697052
Aztec Motor Company Building Historic Site,36.8202029,-107.9957637
Austin-McDonald House Historic Site,36.8250454,-107.9870439
Allison Dormitory Historic Site,35.6917896,-105.9365062
H B Ailman House Historic Site,32.7701537,-108.278546
Acklin Store Historic Site,32.8267423,-107.920037
Thomas Jefferson Arrington House Historic Site,36.7277412,-108.2207611
Ancho Railroad Depot Historic Site,33.9382473,-105.7410387
American Hotel Historic Site,36.8203538,-107.9960689
Romaine Fielding and Tom Mix Studio Historic Site,35.5935507,-105.2182532
Eddy and Bissell Livestock Company Headquarters Historic Site,32.4206736,-104.2288375
Alehandro Gonzales House Historic Site,35.2378315,-106.6065914
John Acord House Historic Site,32.8423345,-104.4032963
Dunham Log House Historic Site,36.9031328,-106.5788766
Dice Apartments Historic Site,35.5938047,-105.2182167
Trinidad Andazola House Historic Site,32.6282987,-107.8663858
Brown and Manzanares Company Building Historic Site,35.5937801,-105.2180132
Angel Arturo House Historic Site,35.5939194,-105.2179344
H D Abrams House Historic Site,36.8248608,-107.9922796
Harry Francis Acley House Historic Site,32.9013773,-105.9567711
Dust Bowl Home Historic Site,34.5600616,-106.7891935
Eddy National Bank Historic Site,32.4206736,-104.2288375
Fidelity Building Historic Site,35.5938827,-105.2180516
Engleman-Thomas Building Historic Site,36.8209292,-107.9944865
Silver City Water Works Building Historic Site,32.7834024,-108.2791178
Burns-Kelly Store Historic Site,36.903142,-106.5788958
Fred Bunker House Historic Site,36.8222287,-107.9932773
Minnie L Brumback House Historic Site,32.7690145,-108.284564
T D Buras Store Historic Site,36.7298493,-106.5697137
Bullard Hotel Historic Site,32.7682245,-108.2846484
Berkshire Hotel Historic Site,34.7583935,-106.0558507
Henry Blattman House Historic Site,35.5938091,-105.2178952
Bond House Historic Site,35.9908534,-106.0832995
David Abraham House Historic Site,32.7686627,-108.2846069
Baca-Korte House Historic Site,35.5938445,-105.2177863
D C Ball House Historic Site,36.8233033,-107.9866067
Bank of Las Vegas Historic Site,35.59376,-105.2177264
Baskin Building Historic Site,32.8423345,-104.4032963
Bell Ranch Headquarters Historic Site,35.4028261,-104.1899762
Harvey McCoy House Historic Site,36.8283661,-107.990174
James McGee House Historic Site,36.8219724,-107.9927677
Hebrew Temple Historic Site,35.5970208,-105.1998113
Johnson Memorial Mortuary Historic Site,35.5967528,-105.2003546
Cloudcroft Lodge Historic Site,32.9576579,-105.7424119
Eldorado Hotel Historic Site,35.5934081,-105.2182112
Eugenio Gatignole House Historic Site,35.5936309,-105.2184834
Herzstein Memorial Museum Historic Site,36.4516207,-103.1841095
J J Hagerman House Historic Site,32.4206736,-104.2288375
Martin Maher House Historic Site,32.7691809,-108.2845558
Stine-Fleming House Historic Site,32.7694923,-108.2845454
Hubbell House Historic Site,34.9864527,-106.696695
McCoy-Maddox House Historic Site,36.8293651,-107.9897046
Hodges-Sipple House Historic Site,32.8423345,-104.4032963
Esperanza Herrera House Historic Site,35.5966383,-105.2003484
Edward R Gasler House Historic Site,32.8423345,-104.4032963
El Fidel Hotel Historic Site,35.5954726,-105.2145188
Connells Cabin Historic Site,35.7650315,-105.6694616
Juan Jose Gutierrez House Historic Site,32.9776901,-105.9419319
Garcia House Historic Site,35.9745584,-105.3302447
Donnelly Library Historic Site,35.5957902,-105.2199386
Daws-Keys House Historic Site,36.8253803,-107.9920864
John Doherty House Historic Site,35.9744292,-105.3302143
Laureano Cordova Mill Historic Site,36.1907091,-105.6704294
Thomas Conway House Historic Site,32.7688438,-108.2845893
Exchange Hotel Complex Historic Site,35.7575258,-106.4653087
Eddy County Courthouse Historic Site,32.4206686,-104.2288342
Guadalupe Courthouse Historic Site,34.8261722,-104.6294325
Lincoln County Courthouse Historic Site,33.4920812,-105.383854
Moore-Ward Cobblestone House,32.8397215,-104.4029114
Santa Clara Hotel Historic Site,36.0089252,-104.7066582
Luna County Courthouse Historic Site,32.2620816,-107.756414
Roosevelt County Courthouse Historic Site,34.1857267,-103.3372795
Carl W Wildensteins House Historic Site,35.7903192,-104.9816685
Canuto Romero House Historic Site,35.5936993,-105.2179674
Rodrick Drug Store Historic Site,34.4718033,-104.2454155
Taos County Courthouse Historic Site,36.4078357,-105.5742252
Seton Castle Historic Site,35.5995859,-105.9313269
Quay County Courthouse Historic Site,35.1715751,-103.7254491
Lea County Courthouse Historic Site,32.9486337,-103.3476723
Robert-Sallie Chisum House Historic Site,32.8423345,-104.4032963
Alamosa Ranch House and Blacksmith Shop Historic Site,33.2976462,-107.1774458
Mogollon Theater Historic Site,33.3967283,-108.7942288
Murphy Drug Store Historic Site,35.5950432,-105.2153741
Doctor Granville Wood House Historic Site,32.856111,-107.9797495
Desiderio Valdez House Historic Site,35.9746664,-105.3304139
DH Sutherland House Historic Site,32.9781469,-105.9423315
Rock Island-Southern Pacific Passenger Depot Historic Site,35.1715748,-103.7255333
Daniel Cassidy House Historic Site,35.9745558,-105.3303929
Jesus M Casaus House Historic Site,34.9386216,-104.6822326
Cerrillos Opera House Historic Site,35.4373246,-106.1264358
Castaneda Hotel Historic Site,35.5942918,-105.2125626
Maurice Case House Historic Site,36.8226143,-107.9924848
